Location,Area,Baths,Beds,Dining Room,Laundry Room,Store Rooms,Kitchens,Drawing Room,Gym,Powder Room,Steam Room,No additional rooms,Prayer Rooms,Lounge or Sitting Room,Price
"Askari, Lahore, Punjab",10 Marla,6,5,0,0,0,1,0,0,0,0,0,0,0,PKR4.65 Crore
"Askari, Lahore, Punjab",10 Marla,5,4,0,0,0,0,0,0,0,0,1,0,0,PKR4.45 Crore
"Askari, Lahore, Punjab",17 Marla,6,5,0,0,0,0,0,0,0,0,1,0,0,PKR8.35 Crore
"Johar Town, Lahore, Punjab",11.5 Marla,5,5,1,0,1,1,1,0,0,0,0,0,1,PKR5 Crore
"DHA Defence, Lahore, Punjab",5 Marla,4,3,1,1,1,2,1,1,1,1,0,1,1,PKR2.05 Crore
"DHA Defence, Lahore, Punjab",1 Kanal,6,5,1,0,1,1,1,0,1,0,0,1,0,PKR7.75 Crore
"Valencia Housing Society, Lahore, Punjab",1 Kanal,6,8,1,1,1,3,1,0,0,0,0,1,1,PKR7.25 Crore
"Wapda Town, Lahore, Punjab",10 Marla,6,6,1,1,1,2,1,0,0,1,0,0,1,PKR3.5 Crore
"DHA Defence, Lahore, Punjab",5 Marla,4,3,1,1,1,2,1,1,1,1,0,1,1,PKR1.95 Crore
"DHA Defence, Lahore, Punjab",1 Kanal,6,5,1,0,1,2,1,0,0,0,0,1,0,PKR7.5 Crore
"DHA Defence, Lahore, Punjab",10 Marla,5,4,1,0,1,2,1,0,1,0,0,1,0,PKR4.75 Crore
"DHA Defence, Lahore, Punjab",10 Marla,5,4,1,1,1,2,1,0,1,0,0,0,1,PKR4.85 Crore
"DHA Defence, Lahore, Punjab",1 Kanal,6,5,1,1,2,2,1,1,1,1,0,1,1,PKR7 Crore
"DHA Defence, Lahore, Punjab",5 Marla,3,3,1,1,0,0,1,1,1,1,0,1,1,PKR2.55 Crore
"Raiwind Road, Lahore, Punjab",2 Kanal,5,5,1,1,1,1,1,0,1,0,0,0,1,PKR17.72 Crore
"DHA Defence, Lahore, Punjab",10 Marla,5,4,1,1,1,1,1,0,1,1,0,0,1,PKR3.8 Crore
"DHA Defence, Lahore, Punjab",1 Kanal,5,5,1,1,2,2,1,1,1,1,0,1,1,PKR10.7 Crore
"DHA Defence, Lahore, Punjab",1 Kanal,5,5,1,1,3,3,1,1,1,1,0,1,1,PKR7.95 Crore
"DHA Defence, Lahore, Punjab",10.7 Marla,6,5,1,0,1,2,1,0,1,0,0,1,0,PKR5.3 Crore
"Lahore Medical Housing Society, Lahore, Punjab",2 Marla,4,3,0,0,1,2,1,0,0,0,0,0,1,PKR75 Lakh
"Lahore Medical Housing Society, Lahore, Punjab",4 Marla,4,3,1,0,0,2,1,0,0,0,0,0,0,PKR1.28 Crore
"Raiwind Road, Lahore, Punjab",3 Marla,4,4,1,1,1,1,1,1,1,1,0,1,1,PKR87.5 Lakh
"DHA 11 Rahbar, Lahore, Punjab",5 Marla,4,3,1,1,0,2,1,0,1,1,0,0,1,PKR2 Crore
"DHA Defence, Lahore, Punjab",1 Kanal,6,7,1,1,0,3,1,1,1,1,0,1,1,PKR7.3 Crore
"DHA Defence, Lahore, Punjab",14 Marla,5,4,1,0,1,1,1,0,0,0,0,1,0,PKR4.15 Crore
"Bahria Town, Lahore, Punjab",5 Marla,5,3,1,1,0,0,1,0,1,0,0,1,1,PKR2.25 Crore
"Bahria Town, Lahore, Punjab",1 Kanal,6,5,1,1,1,2,1,0,1,0,0,1,1,PKR10.5 Crore
"DHA Defence, Lahore, Punjab",10 Marla,5,4,1,0,1,2,1,0,1,0,0,1,0,PKR4.6 Crore
"Bahria Town, Lahore, Punjab",10 Marla,6,5,0,1,1,2,1,0,1,0,0,0,1,PKR4.35 Crore
"Bahria Town, Lahore, Punjab",10 Marla,6,5,0,1,1,2,1,0,1,0,0,0,1,PKR4 Crore
"DHA Defence, Lahore, Punjab",10 Marla,5,4,1,1,2,2,1,1,1,1,0,1,1,PKR5.5 Crore
"DHA Defence, Lahore, Punjab",10 Marla,5,4,1,0,1,2,1,0,1,0,0,1,0,PKR3.75 Crore
"DHA Defence, Lahore, Punjab",5 Marla,4,3,1,1,1,2,1,1,1,1,0,1,1,PKR2.5 Crore
"DHA Defence, Lahore, Punjab",1 Kanal,6,5,1,1,0,2,1,0,1,0,0,0,1,PKR8.1 Crore
"DHA Defence, Lahore, Punjab",5 Marla,4,4,1,1,0,1,1,0,1,0,0,0,1,PKR2.6 Crore
"DHA Defence, Lahore, Punjab",1 Kanal,5,5,1,1,1,2,1,0,1,0,0,0,1,PKR10.5 Crore
"Raiwind Road, Lahore, Punjab",1 Kanal,6,6,1,1,1,2,1,0,1,0,0,0,1,PKR8.5 Crore
"State Life Housing Society, Lahore, Punjab",9 Marla,5,5,1,1,1,2,1,1,1,1,0,1,1,PKR2.8 Crore
"New Lahore City, Lahore, Punjab",3 Marla,3,3,0,0,0,2,0,0,0,0,0,0,0,PKR95 Lakh
"Raiwind Road, Lahore, Punjab",5 Marla,5,4,1,1,0,2,1,0,1,0,0,0,1,PKR2.35 Crore
"DHA Defence, Lahore, Punjab",10 Marla,5,4,1,1,1,2,1,0,1,1,0,0,1,PKR5.5 Crore
"DHA Defence, Lahore, Punjab",10 Marla,5,4,1,0,1,2,1,0,1,0,0,0,1,PKR4.95 Crore
"DHA Defence, Lahore, Punjab",10 Marla,4,4,1,0,1,2,1,0,1,0,0,0,0,PKR4.1 Crore
"DHA Defence, Lahore, Punjab",1 Kanal,5,5,1,0,1,2,1,0,1,0,0,0,1,PKR9 Crore
"Wapda Town, Lahore, Punjab",10 Marla,6,5,0,0,0,0,0,0,0,0,1,0,0,PKR3.3 Crore
"DHA Defence, Lahore, Punjab",1.3 Kanal,6,5,0,0,0,0,0,0,0,0,1,0,0,PKR18 Crore
"DHA Defence, Lahore, Punjab",1 Kanal,6,5,0,0,0,0,0,0,0,0,1,0,0,PKR10.35 Crore
"DHA Defence, Lahore, Punjab",10 Marla,5,4,1,1,1,2,1,1,1,1,0,1,1,PKR4.5 Crore
"DHA Defence, Lahore, Punjab",10 Marla,5,4,1,0,1,2,1,0,1,0,0,1,0,PKR4.7 Crore
"Bahria Orchard, Lahore, Punjab",8 Marla,3,2,1,0,0,1,1,0,0,0,0,0,0,PKR1.5 Crore
"Bahria Orchard, Lahore, Punjab",10 Marla,6,5,0,0,1,2,0,0,0,0,0,0,0,PKR3.51 Crore
"Punjab University Employees Society, Lahore, Punjab",7 Marla,6,7,0,0,1,3,1,0,0,0,0,0,1,PKR2.9 Crore
"Bahria Town, Lahore, Punjab",10 Marla,6,5,1,0,0,2,1,0,0,0,0,0,0,PKR3.5 Crore
"Khayaban-e-Amin, Lahore, Punjab",5 Marla,3,3,1,0,0,0,0,0,0,0,0,0,0,PKR1.15 Crore
"DHA Defence, Lahore, Punjab",5 Marla,4,3,1,1,0,1,1,0,1,0,0,0,1,PKR2.75 Crore
"DHA Defence, Lahore, Punjab",5 Marla,5,4,1,1,1,1,1,0,1,0,0,1,1,PKR2.8 Crore
"DHA Defence, Lahore, Punjab",2 Kanal,6,6,1,1,2,2,1,1,1,1,0,1,1,PKR35 Crore
"DHA Defence, Lahore, Punjab",5 Marla,5,4,1,1,1,1,1,0,1,0,0,1,1,PKR2.75 Crore
"DHA Defence, Lahore, Punjab",1 Kanal,6,5,1,1,2,2,1,0,1,0,0,1,1,PKR7.65 Crore
"DHA Defence, Lahore, Punjab",1 Kanal,6,6,1,1,2,2,1,0,1,0,0,1,1,PKR19.75 Crore
"DHA Defence, Lahore, Punjab",5 Marla,4,3,1,1,1,2,1,1,1,1,0,1,1,PKR2.2 Crore
"DHA Defence, Lahore, Punjab",1 Kanal,6,5,1,1,2,3,1,1,1,1,0,1,1,PKR6.85 Crore
"Bahria Town, Lahore, Punjab",10 Marla,6,5,1,1,1,2,1,0,1,1,0,1,0,PKR3.6 Crore
"DHA Defence, Lahore, Punjab",1 Kanal,6,5,1,0,1,1,0,1,1,0,0,1,0,PKR8.5 Crore
"DHA Defence, Lahore, Punjab",1 Kanal,6,5,1,1,1,1,1,0,1,1,0,1,1,PKR7.45 Crore
"DHA Defence, Lahore, Punjab",1 Kanal,7,6,1,1,1,1,1,0,1,1,0,1,1,PKR11.35 Crore
"Bahria Town, Lahore, Punjab",6 Marla,-,-,0,0,0,0,0,0,0,0,1,0,0,PKR1.75 Crore
"DHA Defence, Lahore, Punjab",10 Marla,5,4,1,1,1,1,1,1,1,1,0,1,1,PKR3.95 Crore
"Bahria Orchard, Lahore, Punjab",8 Marla,6,5,1,1,1,2,1,0,1,0,0,1,0,PKR2.5 Crore
"Bahria Orchard, Lahore, Punjab",6.5 Marla,5,3,1,0,1,2,1,0,1,0,0,0,1,PKR2.3 Crore
"DHA Defence, Lahore, Punjab",5 Marla,5,3,0,0,1,2,0,0,0,0,0,0,0,PKR2.02 Crore
"DHA Defence, Lahore, Punjab",5 Marla,4,3,0,0,0,0,0,0,0,0,1,0,0,PKR2.75 Crore
"DHA Defence, Lahore, Punjab",8 Marla,5,4,1,1,1,2,1,1,1,1,0,1,1,PKR3.9 Crore
"Askari, Lahore, Punjab",11 Marla,6,5,1,0,1,2,1,0,1,0,0,0,0,PKR6.35 Crore
"Ichhra, Lahore, Punjab",9 Marla,3,3,0,0,0,0,0,0,0,0,1,0,0,PKR2 Crore
"DHA Defence, Lahore, Punjab",10 Marla,5,4,1,1,1,1,1,1,1,1,0,1,1,PKR3.5 Crore
"Shadab Garden, Lahore, Punjab",3 Marla,3,3,1,0,0,2,1,0,0,0,0,0,1,PKR90 Lakh
"DHA Defence, Lahore, Punjab",1 Kanal,6,5,1,1,1,1,1,0,1,1,0,1,1,PKR6.75 Crore
"DHA Defence, Lahore, Punjab",10 Marla,5,4,1,0,1,2,1,0,1,0,0,1,0,PKR4.85 Crore
"DHA Defence, Lahore, Punjab",2 Kanal,6,6,1,0,1,2,1,1,1,1,0,1,1,PKR34.5 Crore
"DHA Defence, Lahore, Punjab",5 Marla,4,3,1,1,1,2,1,0,1,0,0,1,1,PKR2.6 Crore
"DHA Defence, Lahore, Punjab",2 Kanal,6,7,1,1,1,2,1,0,1,1,0,1,1,PKR33 Crore
"DHA Defence, Lahore, Punjab",1 Kanal,6,5,0,0,1,2,0,0,0,0,0,0,0,PKR11.5 Crore
"DHA Defence, Lahore, Punjab",1 Kanal,6,5,1,1,1,2,1,0,1,1,0,1,1,PKR10.5 Crore
"DHA Defence, Lahore, Punjab",10 Marla,5,4,1,1,2,2,1,1,1,1,0,1,1,PKR5 Crore
"DHA Defence, Lahore, Punjab",1 Kanal,5,5,0,1,0,0,1,0,0,0,0,1,1,PKR5 Crore
"Raiwind Road, Lahore, Punjab",10 Marla,3,2,0,0,0,0,0,0,0,0,1,0,0,PKR1.55 Crore
"Al Rehman Garden, Lahore, Punjab",6 Marla,6,5,1,1,0,2,1,1,1,1,0,1,1,PKR1.75 Crore
"Raiwind Road, Lahore, Punjab",7 Marla,5,5,0,0,0,1,1,0,1,0,0,0,1,PKR3 Crore
"Al Rehman Garden, Lahore, Punjab",6 Marla,6,5,1,0,0,2,1,0,1,0,0,0,0,PKR1.85 Crore
"Al Rehman Garden, Lahore, Punjab",1 Kanal,6,5,1,0,1,2,1,0,1,0,0,0,0,PKR5.45 Crore
"DHA Defence, Lahore, Punjab",1 Kanal,5,5,1,1,3,3,1,1,1,1,0,1,1,PKR6.75 Crore
"DHA Defence, Lahore, Punjab",1 Kanal,5,5,1,0,0,0,1,0,1,0,0,0,1,PKR10.95 Crore
"Park View City, Lahore, Punjab",10 Marla,6,5,1,1,2,3,1,0,0,0,0,0,1,PKR3.7 Crore
"GT Road, Lahore, Punjab",6 Marla,5,4,1,0,0,2,1,0,1,0,0,0,0,PKR2.45 Crore
"DHA Defence, Lahore, Punjab",10 Marla,5,4,1,1,1,2,1,1,1,1,0,1,1,PKR4.7 Crore
"DHA Defence, Lahore, Punjab",5 Marla,4,4,0,0,0,0,0,0,0,0,1,0,0,PKR2.15 Crore
"DHA Defence, Lahore, Punjab",1 Kanal,6,5,0,0,0,0,0,0,0,0,1,0,0,PKR10.5 Crore
"Bahria Town, Lahore, Punjab",10 Marla,6,5,1,1,1,2,1,1,1,1,0,1,1,PKR4.5 Crore
"DHA Defence, Lahore, Punjab",10 Marla,5,4,0,1,1,2,0,0,1,1,0,1,1,PKR3.85 Crore
"Eden, Lahore, Punjab",10 Marla,4,3,1,1,1,1,1,1,1,1,0,1,1,PKR3.5 Crore
"Raiwind Road, Lahore, Punjab",10 Marla,5,4,1,0,1,2,1,0,1,0,0,0,1,PKR3.7 Crore
"Raiwind Road, Lahore, Punjab",3 Marla,4,3,1,0,0,2,1,0,1,0,0,0,1,PKR1.2 Crore
"Sabzazar Scheme, Lahore, Punjab",5 Marla,6,5,0,0,0,0,0,0,0,0,1,0,0,PKR2.5 Crore
"Sabzazar Scheme, Lahore, Punjab",5 Marla,6,5,0,0,0,0,0,0,0,0,1,0,0,PKR2.5 Crore
"Sabzazar Scheme, Lahore, Punjab",5 Marla,6,5,0,0,0,0,0,0,0,0,1,0,0,PKR2.5 Crore
"Sabzazar Scheme, Lahore, Punjab",5 Marla,6,5,0,0,0,0,0,0,0,0,1,0,0,PKR2.5 Crore
"Sabzazar Scheme, Lahore, Punjab",5 Marla,6,5,0,0,0,0,0,0,0,0,1,0,0,PKR2.5 Crore
"Sabzazar Scheme, Lahore, Punjab",5 Marla,6,5,0,0,0,0,0,0,0,0,1,0,0,PKR2.5 Crore
"Sabzazar Scheme, Lahore, Punjab",5 Marla,6,5,0,0,0,0,0,0,0,0,1,0,0,PKR2.5 Crore
"Sabzazar Scheme, Lahore, Punjab",5 Marla,6,5,0,0,0,0,0,0,0,0,1,0,0,PKR2.5 Crore
"Bahria Town, Lahore, Punjab",5 Marla,5,3,1,1,1,1,1,0,1,1,0,1,1,PKR2.1 Crore
"DHA Defence, Lahore, Punjab",1 Kanal,6,5,1,0,1,1,1,0,1,0,0,0,0,PKR6.69 Crore
"DHA Defence, Lahore, Punjab",1 Kanal,-,6,1,1,2,3,1,0,1,1,0,1,1,PKR7.5 Crore
"DHA Defence, Lahore, Punjab",1 Kanal,6,7,1,1,2,2,1,1,1,1,0,1,1,PKR15 Crore
"DHA Defence, Lahore, Punjab",1 Kanal,6,6,1,1,2,2,1,1,1,1,0,1,1,PKR18.75 Crore
"GT Road, Lahore, Punjab",8.5 Marla,6,5,1,0,0,2,1,0,1,0,0,0,0,PKR2.5 Crore
"DHA Defence, Lahore, Punjab",1 Kanal,6,5,1,0,1,2,1,0,0,0,0,0,1,PKR7.45 Crore
"DHA Defence, Lahore, Punjab",1 Kanal,6,5,1,0,1,2,1,0,1,0,0,0,1,PKR7.15 Crore
"DHA Defence, Lahore, Punjab",1 Kanal,6,5,1,0,1,2,1,0,1,0,0,0,1,PKR7.25 Crore
"Military Accounts Housing Society, Lahore, Punjab",4 Marla,4,5,1,1,0,0,1,0,1,1,0,1,1,PKR1.6 Crore
"DHA Defence, Lahore, Punjab",1 Kanal,6,5,0,0,0,0,0,0,0,0,1,0,0,PKR12.5 Crore
"DHA Defence, Lahore, Punjab",5 Marla,5,4,1,1,1,2,1,1,1,1,0,1,1,PKR1.95 Crore
"Lahore Medical Housing Society, Lahore, Punjab",4 Marla,4,3,0,0,0,0,0,0,0,0,1,0,0,PKR1.4 Crore
"DHA Defence, Lahore, Punjab",10 Marla,5,4,1,0,1,2,1,0,1,0,0,1,0,PKR3.75 Crore
"DHA Defence, Lahore, Punjab",1 Kanal,6,6,1,1,1,3,1,0,1,1,0,1,1,PKR8.5 Crore
"Johar Town, Lahore, Punjab",8 Marla,6,5,1,0,1,2,1,0,0,0,0,0,0,PKR4.25 Crore
"DHA Defence, Lahore, Punjab",5 Marla,3,4,1,0,1,2,1,1,1,1,0,1,1,PKR1.9 Crore
"Sabzazar Scheme, Lahore, Punjab",5 Marla,6,5,0,0,0,0,0,0,0,0,1,0,0,PKR2.5 Crore
"Sabzazar Scheme, Lahore, Punjab",5 Marla,6,5,0,0,0,0,0,0,0,0,1,0,0,PKR2.5 Crore
"Sabzazar Scheme, Lahore, Punjab",5 Marla,6,5,0,0,0,0,0,0,0,0,1,0,0,PKR2.5 Crore
"Sabzazar Scheme, Lahore, Punjab",5 Marla,6,5,0,0,0,0,0,0,0,0,1,0,0,PKR2.5 Crore
"Sabzazar Scheme, Lahore, Punjab",5 Marla,6,5,0,0,0,0,0,0,0,0,1,0,0,PKR2.5 Crore
"Sabzazar Scheme, Lahore, Punjab",5 Marla,6,5,0,0,0,0,0,0,0,0,1,0,0,PKR2.5 Crore
"Sabzazar Scheme, Lahore, Punjab",5 Marla,6,5,0,0,0,0,0,0,0,0,1,0,0,PKR2.5 Crore
"DHA Defence, Lahore, Punjab",5 Marla,4,3,1,1,1,2,1,1,1,1,0,1,1,PKR2.15 Crore
"DHA Defence, Lahore, Punjab",2 Kanal,6,6,1,1,1,2,1,0,1,1,0,1,1,PKR28 Crore
"DHA Defence, Lahore, Punjab",1 Kanal,6,5,1,1,1,2,1,0,1,1,0,1,1,PKR7.25 Crore
"DHA Defence, Lahore, Punjab",1 Kanal,6,5,1,1,1,2,1,0,1,1,0,1,1,PKR7.5 Crore
"DHA Defence, Lahore, Punjab",1 Kanal,6,6,1,1,1,3,1,1,1,1,0,1,1,PKR10.99 Crore
"DHA Defence, Lahore, Punjab",8.2 Marla,5,4,1,0,0,2,1,0,1,0,0,0,1,PKR4.35 Crore
"Al Rehman Garden, Lahore, Punjab",8 Marla,6,5,0,0,0,0,0,0,0,0,1,0,0,PKR2.65 Crore
"Bahria Town, Lahore, Punjab",8 Marla,6,5,0,0,0,0,0,0,0,0,0,0,0,PKR2.65 Crore
"DHA Defence, Lahore, Punjab",8 Marla,4,3,0,0,0,0,0,0,0,0,1,0,0,PKR3.98 Crore
"DHA Defence, Lahore, Punjab",10 Marla,5,4,0,0,0,0,0,0,0,0,1,0,0,PKR4 Crore
"DHA Defence, Lahore, Punjab",7 Marla,4,3,1,1,1,2,1,1,1,1,0,1,1,PKR4.1 Crore
"DHA Defence, Lahore, Punjab",5 Marla,4,3,0,0,0,0,0,0,0,0,1,0,0,PKR2.4 Crore
"DHA Defence, Lahore, Punjab",1 Kanal,6,5,0,0,0,0,0,0,0,0,1,0,0,PKR11.5 Crore
"Askari, Lahore, Punjab",1 Kanal,5,4,1,1,1,1,1,0,1,1,0,1,1,PKR7.45 Crore
"Askari, Lahore, Punjab",1 Kanal,5,4,1,1,1,1,1,0,1,1,0,1,1,PKR7.5 Crore
"Jubilee Town, Lahore, Punjab",3 Marla,4,4,0,0,0,2,0,0,0,0,0,0,1,PKR1.25 Crore
"DHA Defence, Lahore, Punjab",5 Marla,3,4,1,1,1,2,1,1,1,1,0,1,1,PKR1.93 Crore
"Cantt, Lahore, Punjab",6.5 Marla,4,6,0,0,1,2,0,0,0,0,0,0,0,PKR1.75 Crore
"Bahria Town, Lahore, Punjab",10 Marla,6,5,0,1,1,2,1,0,1,0,0,0,1,PKR3.9 Crore
"Sultan Town, Lahore, Punjab",18 Marla,6,6,0,0,0,0,0,0,0,0,1,0,0,PKR3.65 Crore
"DHA Defence, Lahore, Punjab",1 Kanal,6,5,1,1,1,1,1,0,1,1,0,1,1,PKR6.75 Crore
"DHA Defence, Lahore, Punjab",1 Kanal,6,5,1,1,1,2,1,1,1,1,0,1,1,PKR9.12 Crore
"DHA Defence, Lahore, Punjab",1 Kanal,6,5,1,1,1,2,1,0,1,1,0,1,1,PKR9.25 Crore
"Cantt, Lahore, Punjab",10 Marla,6,5,1,1,0,0,1,1,1,1,0,1,1,PKR2.8 Crore
"Allama Iqbal Town, Lahore, Punjab",10 Marla,6,5,1,1,0,2,0,1,1,1,0,0,1,PKR5.75 Crore
"LDA Avenue, Lahore, Punjab",10 Marla,6,6,1,1,0,0,1,0,1,1,0,1,1,PKR3.45 Crore
"DHA Defence, Lahore, Punjab",1 Kanal,6,5,1,0,2,3,1,0,1,0,0,0,1,PKR9 Crore
"DHA Defence, Lahore, Punjab",1 Kanal,-,7,0,0,0,0,0,0,0,0,1,0,0,PKR12.5 Crore
"DHA Defence, Lahore, Punjab",1.1 Kanal,6,5,0,0,0,0,0,0,0,0,1,0,0,PKR17.75 Crore
"DHA Defence, Lahore, Punjab",1 Kanal,-,-,1,1,2,3,1,1,1,1,0,1,1,PKR7.42 Crore
"Nasheman-e-Iqbal, Lahore, Punjab",7 Marla,6,7,1,1,1,3,1,1,1,1,0,1,1,PKR2.3 Crore
"Punjab Small Industries Colony, Lahore, Punjab",7 Marla,6,4,1,1,1,2,1,0,1,0,0,0,1,PKR2.6 Crore
"DHA Defence, Lahore, Punjab",5 Marla,4,3,1,1,1,2,1,0,1,0,0,0,1,PKR2.42 Crore
"New Lahore City, Lahore, Punjab",5 Marla,5,3,1,0,0,2,1,0,1,0,0,0,1,PKR1.35 Crore
"DHA Defence, Lahore, Punjab",1 Kanal,5,5,1,1,3,3,1,1,1,1,0,1,1,PKR6.58 Crore
"Bahria Town, Lahore, Punjab",1 Kanal,6,5,1,0,1,2,1,0,1,0,0,0,1,PKR10.55 Crore
"DHA Defence, Lahore, Punjab",10 Marla,5,4,1,0,1,1,1,0,1,0,0,0,1,PKR4.95 Crore
"DHA Defence, Lahore, Punjab",5 Marla,4,3,1,1,1,1,1,1,1,1,0,1,1,PKR2.2 Crore
"DHA Defence, Lahore, Punjab",10 Marla,4,4,1,1,1,1,1,0,0,0,0,0,1,PKR4.05 Crore
"Architects Engineers Housing Society, Lahore, Punjab",12 Marla,6,5,1,1,0,2,1,0,1,0,0,1,1,PKR3.7 Crore
"New Lahore City, Lahore, Punjab",5 Marla,3,3,0,0,0,0,1,0,0,0,0,0,1,PKR1.5 Crore
"DHA 11 Rahbar, Lahore, Punjab",5 Marla,4,3,0,0,0,1,1,0,0,0,0,0,0,PKR1.9 Crore
"Nasheman-e-Iqbal, Lahore, Punjab",10 Marla,5,5,0,0,0,0,0,0,0,0,1,0,0,PKR2.9 Crore
"Cantt, Lahore, Punjab",10 Marla,6,5,1,1,0,0,1,1,1,1,0,1,1,PKR2.8 Crore
"Allama Iqbal Town, Lahore, Punjab",10 Marla,6,5,1,1,0,2,0,1,1,1,0,0,1,PKR5.75 Crore
"LDA Avenue, Lahore, Punjab",10 Marla,6,6,1,1,0,0,1,0,1,1,0,1,1,PKR3.45 Crore
"DHA Defence, Lahore, Punjab",10 Marla,5,3,1,1,2,2,1,1,1,1,0,1,1,PKR5 Crore
"DHA Defence, Lahore, Punjab",5 Marla,4,3,1,1,1,2,1,1,1,1,0,1,1,PKR1.85 Crore
"DHA Defence, Lahore, Punjab",1 Kanal,6,5,1,1,1,2,1,0,1,1,0,1,1,PKR7 Crore
"DHA Defence, Lahore, Punjab",1 Kanal,6,5,1,0,1,1,1,0,1,0,0,1,0,PKR5.89 Crore
"Park View City, Lahore, Punjab",5 Marla,6,5,1,1,1,2,0,0,1,1,0,1,1,PKR1.9 Crore
"DHA Defence, Lahore, Punjab",1 Kanal,6,5,1,0,1,2,1,0,1,0,0,1,0,PKR10.5 Crore
"Bahria Town, Lahore, Punjab",10 Marla,7,5,1,1,1,1,1,0,1,1,0,1,1,PKR3 Crore
"Bahria Town, Lahore, Punjab",5 Marla,5,3,0,1,1,1,1,0,1,1,0,0,0,PKR1.85 Crore
"DHA Defence, Lahore, Punjab",10 Marla,5,4,1,1,1,2,1,1,1,1,0,1,1,PKR4 Crore
"DHA Defence, Lahore, Punjab",1 Kanal,6,5,1,1,2,2,1,1,1,1,0,1,1,PKR12.5 Crore
"Bahria Town, Lahore, Punjab",1 Kanal,6,5,1,0,1,2,1,0,0,0,0,0,1,PKR6.5 Crore
"Bahria Town, Lahore, Punjab",5 Marla,4,3,1,1,0,2,1,1,1,1,0,1,1,PKR2.2 Crore
"Bahria Town, Lahore, Punjab",5 Marla,4,3,1,1,0,1,1,1,1,1,0,1,1,PKR2.2 Crore
"Bahria Town, Lahore, Punjab",5 Marla,4,3,0,0,0,0,0,0,0,0,0,0,0,PKR2.4 Crore
"DHA Defence, Lahore, Punjab",2.1 Kanal,6,8,1,1,4,4,1,1,1,1,0,1,1,PKR29.9 Crore
"DHA Defence, Lahore, Punjab",10 Marla,5,4,1,0,1,2,1,0,1,1,0,0,0,PKR4.5 Crore
"DHA Defence, Lahore, Punjab",10 Marla,5,4,1,0,1,2,1,0,1,0,0,1,0,PKR3.95 Crore
"Punjab Govt Employees Society, Lahore, Punjab",12 Marla,6,5,1,1,1,3,1,1,1,1,0,1,1,PKR5 Crore
"Airline Housing Society, Lahore, Punjab",1 Kanal,6,5,1,1,2,2,1,1,1,1,0,1,1,PKR7 Crore
"Military Accounts Housing Society, Lahore, Punjab",8 Marla,6,6,1,1,1,2,1,0,0,1,0,0,1,PKR2.8 Crore
"Bahria Town, Lahore, Punjab",5 Marla,4,3,1,0,1,2,1,0,0,0,0,0,1,PKR1.9 Crore
"Central Park Housing Scheme, Lahore, Punjab",10 Marla,5,5,0,0,1,2,1,0,1,0,0,0,1,PKR3.1 Crore
"Park View City, Lahore, Punjab",5 Marla,6,5,1,1,1,2,0,0,1,1,0,1,1,PKR1.9 Crore
"Awasia Housing Society, Lahore, Punjab",1.5 Kanal,6,5,1,1,1,2,0,0,1,1,0,1,1,PKR6 Crore
"Johar Town, Lahore, Punjab",8 Marla,6,6,1,1,1,2,0,0,1,1,0,1,1,PKR5.25 Crore
"DHA Defence, Lahore, Punjab",10 Marla,6,4,1,0,0,1,1,0,0,0,0,0,0,PKR4.25 Crore
"Gulshan-e-Lahore, Lahore, Punjab",11 Marla,6,6,1,1,1,2,0,0,1,1,0,1,1,PKR3.8 Crore
"Johar Town, Lahore, Punjab",5 Marla,6,6,1,1,1,2,1,0,1,1,0,1,1,PKR2.7 Crore
"DHA Defence, Lahore, Punjab",10 Marla,6,4,0,0,0,2,1,0,0,0,0,0,0,PKR3.75 Crore
"Sunfort Gardens, Lahore, Punjab",5 Marla,6,5,1,1,0,2,0,0,1,1,0,1,1,PKR2.25 Crore
"DHA Defence, Lahore, Punjab",1 Kanal,6,5,1,1,1,2,1,1,1,1,0,1,1,PKR7.75 Crore
"Garden Town, Lahore, Punjab",2.5 Kanal,4,4,0,0,0,0,0,0,0,0,0,0,0,PKR25 Crore
"DHA Defence, Lahore, Punjab",2.5 Marla,4,3,1,0,1,2,1,0,1,0,0,1,1,PKR1.45 Crore
"DHA Defence, Lahore, Punjab",5 Marla,4,3,0,0,0,1,0,0,0,0,0,0,1,PKR2.6 Crore
"Raiwind Road, Lahore, Punjab",10 Marla,3,3,1,1,1,1,1,0,1,0,0,0,0,PKR2.5 Crore
"Chinar Bagh, Lahore, Punjab",5 Marla,3,4,1,0,0,2,0,0,0,0,0,0,1,PKR95 Lakh
"Bahria Town, Lahore, Punjab",8 Marla,4,3,0,1,0,2,1,0,1,0,0,0,1,PKR2.2 Crore
"Sue-e-Asal, Lahore, Punjab",3 Marla,3,2,0,1,1,1,1,0,0,0,0,1,1,PKR45 Lakh
"Punjab Coop Housing Society, Lahore, Punjab",10 Marla,5,4,1,0,1,1,1,0,1,0,0,0,0,PKR3.9 Crore
"State Life Housing Society, Lahore, Punjab",1 Kanal,6,5,1,1,2,2,1,1,1,1,0,1,1,PKR7.3 Crore
"DHA Defence, Lahore, Punjab",1 Kanal,6,5,1,1,1,1,1,0,1,1,0,1,1,PKR7.95 Crore
"DHA Defence, Lahore, Punjab",1 Kanal,4,6,0,0,0,0,0,0,0,0,1,0,0,PKR12.5 Crore
"DHA Defence, Lahore, Punjab",5 Marla,4,3,1,1,1,1,1,0,1,0,0,1,1,PKR2.2 Crore
